episode,total_reward
332,-24.9132814733
333,-51.8856974334
334,-37.4482031287
335,-48.5406378154
336,-32.7831246809
337,-38.5884332804
338,-39.4065056369
339,-29.9562562504
340,-19.827630878
341,-41.3733618145
342,-47.0787122864
343,-39.3598456297
344,-40.0200070457
345,-48.2796521662
346,-18.6788728005
347,-21.1989044248
348,-22.6126893226
349,-14.4650262066
350,-19.6425850253
351,-28.024608481
352,-28.9519712421
353,-26.0511487614
354,-30.7143836664
355,-30.5172398492
356,-45.4899163861
357,-25.7177174873
358,-29.8943500589
359,-32.2253586251
360,-23.7361022071
361,-15.3323515768
362,-32.8464568744
363,-12.8432212297
364,-24.3094519121
365,-47.1630326342
366,-21.9663658106
367,-31.316239306
368,-24.1358368389
369,-17.991513048
370,-31.6577276562
371,-31.2350737007
372,-27.539002262
373,-25.3056768548
374,-14.1492189165
375,-19.9879499091
376,-21.0544926219
377,-21.4902610239
378,-30.3208728192
379,-26.3010472948
380,-45.4718887446
381,-24.0271440021
382,-27.9787474889
383,-31.4644497844
384,-31.939551375
385,-35.3791399611
386,-19.5342349776
387,-34.9936866722
388,-35.5792411785
389,-28.94131538
390,-26.10063046
391,-42.9428677261
392,-22.7152456862
393,-19.7934270015
394,-25.730945213
395,-22.8016845748
396,-30.2375639705
397,-21.2043099744
398,-20.5630345048
399,-22.1958545017
400,-25.9044071918
401,-41.5641117412
402,-24.741699821
403,-20.0048498856
404,-34.4645342565
405,-23.9040908246
406,-18.0825757978
407,-21.1148872465
408,-25.5095904194
409,-39.5675576575
410,-27.6331879836
411,-20.6422874776
412,-16.912875323
413,-36.3922013759
414,-20.0408729906
415,-30.3659396277
416,-45.5134172869
417,-40.1596474506
418,-21.7683011403
419,-24.7486612904
420,-20.8106633039
421,-36.2027131981
422,-21.7094024961
423,-30.9896172083
424,-20.5527468842
425,-22.1405290782
426,-18.084594134
427,-20.2674283015
428,-42.0605019212
429,-20.9728196851
430,-38.3829416148
431,-24.863597002
432,-20.4856005687
433,-26.5650276165
434,-39.8103542508
435,-19.8894560472
436,-26.8273334257
437,-35.5121099779
438,-32.404230706
439,-42.6992577849
440,-23.7954322337
441,-35.5217119938
442,-39.7053871189
443,-25.002830811
444,-31.5188795274
445,-27.0281223604
446,-37.5324680898
447,-21.3511523615
448,-20.8398790248
449,-31.6259984271
450,-19.6197681474
451,-44.0136054972
452,-34.0547295747
453,-35.354372034
454,-40.4653628522
455,-12.7532110689
456,-20.3396154272
457,-29.3921550451
458,-28.6388666092
459,-29.0629935221
460,-48.8254789198
461,-27.091010515
462,-26.3132039737
463,-32.507688469
464,-23.9011722942
465,-16.2173076083
466,-20.7429803462
467,-24.9911024744
468,-21.799163028
469,-19.7989302968
470,-44.3238589108
471,-25.5034069494
472,-40.4072620669
473,-21.8748937613
474,-28.7781448884
475,-36.0702475132
476,-23.8398672092
477,-21.1373479009
478,-25.8638586792
479,-21.5107090482
480,-31.8556669275
481,-24.8765755317
482,-42.0542048241
483,-29.5430133785
484,-22.8781080321
485,-16.5498653936
486,-29.5721223681
487,-28.7296206515
488,-37.945079318
489,-32.8323996516
490,-32.3615533659
491,-31.9479943752
492,-35.5419178269
493,-28.4910873689
494,-30.4158408581
495,-20.6905124991
496,-27.5592022813
497,-29.7909578047
498,-26.9451744513
499,-40.0091830493
500,-22.4281322703
501,-22.5733696661
502,-14.0752721196
503,-35.1029098893
504,-18.992057103
505,-12.9484813045
506,-47.5054737929
507,-25.539583739
508,-20.7525451764
509,-31.7899859477
510,-27.6089083128
511,-23.5544885248
512,-17.3555449998
513,-32.5574390686
514,-23.2444448831
515,-21.2840868771
516,-33.3221362273
517,-30.9046375453
518,-31.853090086
519,-19.873932372
520,-27.8267041946
521,-25.9114597359
522,-31.130864854
523,-36.1106684588
524,-28.5839430645
525,-29.0312733957
526,-40.2020385997
527,-22.8637237936
528,-20.8101651788
529,-23.6334031061
530,-25.0932411847
531,-21.3259163038
532,-21.1708006745
533,-23.6162590219
534,-30.4867414119
535,-25.0292773391
536,-27.6032652139
537,-33.7504548886
538,-25.1779290409
539,-29.8651774792
540,-29.8537065981
541,-20.2705299391
542,-22.8589434005
543,-24.9886570469
